date,humidity_mean,pressure_mean,temperature_mean,wind_direction_mean,wind_speed,weather_desc_cat_mean,humidity_min,pressure_min,temperature_min,wind_direction_min,wind_speed,weather_desc_cat_min,humidity_max,pressure_max,temperature_max,wind_direction_max,wind_speed,weather_desc_cat_max,humidity_median,pressure_median,temperature_median,wind_direction_median,wind_speed,weather_desc_cat_median,humidity_std,pressure_std,temperature_std,wind_direction_std,wind_speed,weather_desc_cat_std
2012-10-01,56.27272727272727,1012.0,288.5694198979091,261.3636363636364,6.363636363636363,1.0,55,1012,288.22,260.0,6.0,1,58,1012,288.96104760599997,263.0,7.0,1,56.0,1012.0,288.564730141,261.0,6.0,1.0,1.009049958219026,0.0,0.2554655650774202,1.2862913567872045,0.504524979109513,0.0
2012-10-02,50.95,1012.0,290.39836666209993,264.5,5.55,1.0,43,1011,289.040311099,240.0,5.0,1,55,1013,294.72,270.0,6.0,1,52.0,1012.0,289.7933142815,266.5,6.0,1.0,3.561120462350078,0.32444284226153164,1.6360626975075707,7.294554565961485,0.5104177855340405,0.0
2012-10-03,68.54166666666667,1015.5416666666666,290.065625,118.91666666666667,2.4166666666666665,1.6666666666666667,46,1014,288.54,0.0,0.0,1,100,1017,292.88,330.0,5.0,4,63.0,1015.0,290.03499999999997,95.0,3.0,1.0,18.304143428925226,0.9315329426211066,1.1973640344609968,101.72893080298662,1.6129008882638507,1.1293194051465598
2012-10-04,94.54545454545455,1016.7727272727273,291.99363636363637,56.36363636363637,2.0454545454545454,3.227272727272727,83,1015,290.12,0.0,0.0,3,100,1018,295.27,340.0,3.0,4,100.0,1016.5,290.53499999999997,40.0,2.5,3.0,6.493419912842714,1.2317938209441726,2.132292630356324,91.88737695293104,1.2140947137789433,0.4289320272288885
2012-10-05,93.04166666666667,1019.25,294.04354166666667,49.583333333333336,1.375,3.125,78,1017,291.58,0.0,0.0,1,100,1020,296.27,170.0,4.0,4,94.0,1020.0,293.9,45.0,1.5,3.0,6.061131811846657,1.0733936430981652,1.4629500267599675,53.200128037330934,1.2790111669635225,0.7974142996067924
2012-10-06,71.0,1016.8695652173913,293.10043478260866,192.17391304347825,1.7391304347826086,2.260869565217391,39,1014,287.78,0.0,0.0,1,100,1018,299.78,320.0,4.0,3,77.0,1017.0,292.85,260.0,2.0,3.0,20.38270211366848,1.3586205512840583,4.1916209473195485,137.74008863003638,1.2142109785351378,0.8643121965600914
2012-10-07,66.45833333333333,1011.125,292.02666666666664,209.16666666666666,4.541666666666667,1.875,50,1007,288.01,0.0,0.0,1,93,1015,297.84,330.0,9.0,3,66.0,1011.0,291.38,210.0,4.0,1.5,11.021635508188531,2.1732064068920387,3.2113256702495767,71.0735483521283,2.519129709394422,0.9469631093315001
2012-10-08,62.78260869565217,1017.0,283.6404347826087,234.7826086956522,3.0434782608695654,2.739130434782609,50,1014,279.64,0.0,1.0,1,76,1019,286.81,350.0,8.0,5,62.0,1017.0,283.98,310.0,2.0,2.0,8.452845253840598,1.5075567228888282,1.6346127655443663,126.23461437186174,1.8458371067095627,1.5140971298358223
2012-10-09,72.3,1021.65,281.79774999999995,265.5,3.45,2.65,54,1018,278.02,0.0,0.0,1,87,1025,285.4,340.0,5.0,4,76.0,1021.0,282.21500000000003,310.0,4.0,3.0,9.096558053519626,2.2542357790099197,2.424907201154376,115.6890114419734,1.3562719801759993,1.1367080817685318
2012-10-10,76.2,1022.2,284.5325000000001,39.35,3.85,2.0,62,1013,282.87,10.0,2.0,1,93,1025,288.6,100.0,6.0,4,75.0,1023.0,283.7683333335,33.5,4.0,1.0,8.389216135517133,2.483630619200782,1.7935693691287153,27.815699845496194,1.1821033884786187,1.3377121081198773
2012-10-11,85.04166666666667,1013.375,287.9572916666667,98.625,4.541666666666667,2.2083333333333335,48,1009,285.17,0.0,0.0,1,100,1017,291.3,320.0,7.0,4,89.0,1013.0,288.44,49.0,5.0,2.0,15.406038247802504,1.9294626420214473,2.0020740491271547,98.96895099408484,1.9555754555421379,1.141287094417552
2012-10-12,48.45,1017.8,284.8155,281.5,5.9,1.45,31,1011,280.92,220.0,3.0,1,58,1023,288.76,310.0,10.0,2,52.0,1019.0,284.415,290.0,6.0,1.0,8.081655640692498,4.047091223140405,2.6077909082310784,29.24938145994671,1.5525869752736798,0.5104177855340402
